Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
45ea9dc54b3e5979199bd902ed212782714c24ff65e2177c20775e095a7720d5,2023-05,Metropolitan Police Service,Metropolitan Police Service,-0.136771,51.420170,On or near Estreham Road,E01003114,Lambeth 032B,Investigation complete; no suspect identified
adc9f577b62888359a757de8050cfd628744f8e058a8d8f43cd7fa55cfe15dcf,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1ada714f03a12d9967e261624aabce164516058326ab055dc20a04797ce64f91,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
38c94b6ed81fa9fca8e9b546559626281b69a34b6e8b97a95fa852a18ee8b122,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
b047633433046a8352477d8c66fb5993d13190870a32e9df2f3b5d814dd876cb,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
7798c33436f5fd5b4f1c510c3d2b1831c3883f10ee4ffa198c4c895c7a624608,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fb840b8d55a399bd51dac92157eb4185a097b066e5754cee34fe4dec7fbd45e6,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
96aecf2101976fe0af7b4046d076155111d7388ec615724fc196d0f94536a6ec,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a0084c98b4772edff9606dcbb047b9e5c9f46f54c42ac50f5fe351927c9d20f4,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d7a1841fbd381d447dc94e1be76166d87013b9bb156a3dfb6dbc46bb91a5ad04,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
981eae93d007e2cb577df84400c7c96cedeee2bac147cc7515719d6141672c56,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
27818fd312d226ac63a62cf0eba409466761c3ee59465945ccadf6e4459f3b40,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
1ec73a9cab31722c10ace2d5180cf8c72b6ba79cd638cadfd7c01a5db9b71877,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
388e2bf3fecc0fe6b54811d18a31b84f737fb7b8b49a27d78a385e3311a462fd,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3175436e80001e2fba2c35f720384cd96b964a3dd74bfab93a0159a4bbe99ec6,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a2b5dfbce867693283b69bdef3f677ee890d24ca9fdcaa218f1f1abfb0fa4471,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
55576fd7b798141002a72780cab6b96789ee5b47f193b4c659204dcb27baf58b,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
6a2d5f4812f133a6608cb66db5a3a7d0d2cd99e527baf11a4b362e51d48e3886,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
a3d03164a432fa66bf1f0d32a21e974833388812f3f002d0b6e05339d4097e7b,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c86453a129adbb6bb41f082c11adfe654867cd5fa16bf0f7175f3976a0d13d14,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
fa229eacfc3116571e71d0bdc965f8e355a3eb9951024bf2bdf089b26f556d75,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
edb28769434a326ea0d29e5caf6de7a8f70ea0a1050d49cd9cc7a34b7dec626a,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
57dafd23470368f9d55fb4cfd418a787857e20b3a27774344ec315b6e365671a,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
c11874075e50e5461de27b461db2521ca5ec5b088ae51d67532d599364ea0f02,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d435635e2605a4b9c7450f6a4c25e343e771c6f64f19b1d6735cf3c5d4c2cb11,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
d253e307da104222386cfcc286de1c329813ca6b5678ec673f6da0560e749360,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
3fcd6988e2ecf93d8ee05147c0576db1725bbce99a78ebe70d9e468ca69cd0fb,2023-05,Metropolitan Police Service,Metropolitan Police Service,,,No location,,,Investigation complete; no suspect identified
