Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Outcome type
b260d8aa55f9485559a5b3f50bfbab5642d956143d94b75c70ddd780075192a8,2023-03,Dorset Police,Dorset Police,-1.875951,50.721844,On or near ,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
f360bc64c382d5beac9ecfc5401b867abc5dc79a5707af67073f4bea18914048,2023-03,Dorset Police,Dorset Police,-1.850914,50.852854,On or near ,E01020403,East Dorset 004A,Investigation complete; no suspect identified
19b7f81154643a2d19cf6638b3af9e9ccb1dc5672bde8dc459a05021739fa3f0,2023-03,Dorset Police,Dorset Police,-2.456427,50.609477,On or near ,E01020554,Weymouth and Portland 004B,Investigation complete; no suspect identified
d5fededa35fa9c65b70a11c15a98387d399b5ed5d2af56fffd0c95008a61c00b,2023-03,Dorset Police,Dorset Police,-1.805104,50.732340,On or near ,E01015361,Bournemouth 014C,Investigation complete; no suspect identified
3ecde05b15aad2900de5c22210520c41706df759511df742b5c533b61a40efe4,2023-03,Dorset Police,Dorset Police,-1.750789,50.730457,On or near Foxwood Avenue,E01020362,Christchurch 007D,Investigation complete; no suspect identified
a0371f4772d62b339f25d6088b90bf86347ffae91cad6c677fdf41b87c418520,2023-03,Dorset Police,Dorset Police,-1.866744,50.736501,On or near Belvedere Road,E01015345,Bournemouth 013C,Investigation complete; no suspect identified
2d6c0e3f76cf69ed7570f3f36de76c1648a4be5828763dbe2ec6315082d67a46,2023-03,Dorset Police,Dorset Police,-1.879962,50.721120,On or near ,E01033285,Bournemouth 017G,Investigation complete; no suspect identified
ae473912ab9a569ce466dc1a3c6abbdc8be10bd60766b5f696a440942e77d3d7,2023-03,Dorset Police,Dorset Police,-1.894201,50.801842,On or near St Mary's Road,E01020392,East Dorset 008C,Investigation complete; no suspect identified
14d7043ba5fa4e3b7318a06afe223c675d7323eeeb21c952eb856c6626b8f8a5,2023-03,Dorset Police,Dorset Police,-1.884959,50.884636,On or near Eastworth Road,E01020414,East Dorset 003D,Investigation complete; no suspect identified
c80fe778b5926df6cf183350259ee5d290a8bf2633720367b59614d9bec82ed6,2023-03,Dorset Police,Dorset Police,-1.864153,50.843392,On or near Victory Close,E01020412,East Dorset 003B,Investigation complete; no suspect identified
d5b1e0bbc1ff595a713c98f9b18e2bd22b367ef4cf8b20239f4c144f59982019,2023-03,Dorset Police,Dorset Police,-1.955279,50.784687,On or near Canford Magna,E01015431,Poole 001A,Investigation complete; no suspect identified
4c8c17f80a79e33d016250eb775f08c1ff52b54843f53e8d70685039bc709274,2023-03,Dorset Police,Dorset Police,-1.933372,50.727763,On or near Alexandra Road,E01015461,Poole 013C,Investigation complete; no suspect identified
1642cb1096d967fabc117907da8e0183262f13907f7a37a6c3ccfb6bf4eb06ff,2023-03,Dorset Police,Dorset Police,-1.876634,50.720496,On or near ,E01015283,Bournemouth 017A,Investigation complete; no suspect identified
